Proxy,TestID,1,2,3,4,5,6,7,8,9,10
CHP,0,229.55414766517873,358.8400117428752,412.67512192628317,433.46307831830177,504.1103196719534,480.6796242337315,492.3899913405516,497.4137407953357,497.46675605659084,493.87235263328137
CHP,1,232.0996399766181,353.13179141634436,405.17143807491595,425.56906617012476,453.33577809592583,478.58060571691885,488.11265498654984,500.3876901110558,496.1580300703941,524.9393812711567
CHP,2,237.24946555050852,364.09198582881146,410.2413737822397,451.0440597824389,463.977627442478,474.10665864236455,497.0757500730253,509.23246629611253,503.8162989298847,505.2940254033975
CHP,3,233.39521674847526,359.46142700024114,407.186259588124,418.3041763814185,477.36903278027324,467.3508087163901,493.13856591905926,493.00648464379015,519.0632050117498,499.17712569537133
CHP,4,231.6132373010422,346.96223231901996,417.66297574867394,429.90680867675377,442.9974558749125,508.40014176264106,474.976100720925,513.2787676100494,492.30839176390214,517.6003353266827
TomlProxy,0,327.97622251811504,527.7760522147966,613.8800693828174,575.673617985906,562.0143120142378,578.7811719630234,582.87234127931,581.6272449714055,562.2402226259725,590.8726329208265
TomlProxy,1,339.6816034236052,487.15170999946713,521.1435801410001,569.3904311843952,532.2823479998266,577.5467201629555,554.2211640524783,574.8667568068798,603.6931927861197,591.4856504409379
TomlProxy,2,336.86763491956066,476.02550588464965,555.9939916778659,577.0094913326964,548.6838776742763,562.008961450167,566.3005542668203,578.6899618401752,644.426202941214,598.8520289519668
TomlProxy,3,340.7398901130414,484.6061263694197,581.1171298815399,570.5405807345626,558.806640422965,557.6576383193666,567.24298329608,549.2593643439167,570.8544797164318,585.8825771270823
TomlProxy,4,336.7393005208196,475.03876239914433,553.7620976280566,564.7748530114454,544.1789625614506,560.5163764764026,573.3216135287016,582.6695058099144,588.4540158920441,607.9870103292523
EtcdProxy,0,329.60888106994423,522.9713001808419,546.0528871987859,541.3307957478258,577.7265301045137,574.5068440810529,538.970867946991,589.9831229296628,579.8128336016761,583.7960825952358
EtcdProxy,1,340.1131846840297,494.71660818195846,588.6968816384975,559.6698841578387,593.1834560809103,569.860855200821,534.6618274055771,599.7589726981981,643.1641999454853,582.9800768068594
EtcdProxy,2,332.0745898742436,497.2860472159237,550.7833517134429,628.7328834030152,576.5152484745607,541.5366664850044,596.0600808949786,587.2395958593767,543.2271874491477,596.7318870867263
EtcdProxy,3,335.7657595120074,528.1869950286507,543.0835793319209,593.0435214761422,582.2102722653165,578.4388313031424,624.1610347685088,573.8016227653487,605.2906869628943,612.9987616393025
EtcdProxy,4,353.3363415041722,522.8632825076847,596.9108886375278,616.0116580011106,594.9056176927677,614.8719586295168,590.4510774327628,631.2419391921665,668.1430887037251,636.6394413017003
ConsulProxy,0,331.9209912650764,489.0830190234839,575.5382798192488,541.6689992715168,533.3468498900409,578.6835244859057,568.2743044886618,628.3226972683199,551.3105272874552,596.9171122240133
ConsulProxy,1,337.0478522349544,497.14520877120106,543.3536356327493,574.285905729433,578.6681136071901,561.0537611973303,608.1119889035308,568.7397495606989,606.7455146881692,630.8329491694209
ConsulProxy,2,335.28431487204284,538.5614269001215,569.6228309102735,590.2452102616921,631.9760993677286,623.6429300002665,624.3643221931492,617.0351582670153,596.452476410104,627.3122706081117
ConsulProxy,3,364.85731845876745,549.0369831154518,585.0068231663257,606.4866989477052,596.8667684414942,582.4856845000583,621.8497654203678,609.9062959826741,594.951129831624,638.5946895527868
ConsulProxy,4,347.9225132926698,518.0223325848775,539.6741831645236,569.1408110329523,554.5687063921108,570.8189745750487,583.6712452165958,634.570028324684,558.9837791279663,593.0388874631684
